,id,title,content,cluster
2111,1456211821659_PTT02R,[其他] 105年02月23日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年02月23日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 10.82 11.38 -0.56 自營商(避險) 37.67 53.93 -16.26 投 信 10.22 10.05 +0.17 外資及陸資 189.80 178.19 +11.60 =========================================================== 合 計 248.51 253.55 -5.05 法人成交比重32.01% -- 四大基金：勞保、勞退、退撫、郵儲 四大雞精：白蘭氏、統一、桂格、華陀 -- ,5
2171,1456298437567_PTT02R,[其他] 105年02月24日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年02月24日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 9.55 12.07 -2.52 自營商(避險) 37.36 58.13 -20.77 投 信 11.21 17.30 -6.09 外資及陸資 184.62 192.79 -8.17 =========================================================== 合 計 242.73 280.29 -37.55 法人成交比重36.18% -- 四大基金：勞保、勞退、退撫、郵儲 四大雞精：白蘭氏、統一、桂格、華陀 -- ,5
2234,1456383439016_PTT02R,[其他] 105年02月25日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年02月25日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 10.04 11.07 -1.04 自營商(避險) 52.59 64.09 -11.49 投 信 8.97 8.40 +0.57 外資及陸資 244.37 169.22 +75.16 =========================================================== 合 計 315.97 252.77 +63.20 法人成交比重33.64% -- 持股滿檔待上漲 vs. 持股續抱待解套 ?注文????？ -- ,5
2282,1456469701445_PTT02R,[其他] 105年02月26日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年02月26日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 12.47 9.63 +2.83 自營商(避險) 40.38 52.75 -12.37 投 信 14.01 9.99 +4.03 外資及陸資 289.01 197.43 +91.58 =========================================================== 合 計 355.87 269.80 +86.07 法人成交比重38.33% -- 持股滿檔待上漲 vs. 持股續抱待解套 ?注文????？ -- ,5
2420,1456815564379_PTT02R,[其他] 105年03月01日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年03月01日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 14.43 8.80 +5.63 自營商(避險) 46.45 54.97 -8.52 投 信 13.32 11.63 +1.69 外資及陸資 288.83 255.09 +33.74 =========================================================== 合 計 363.02 330.48 +32.54 法人成交比重38.23% -- 持股滿檔待上漲 vs. 持股續抱待解套 ?注文????？ -- ,5
2475,1456902884201_PTT02R,[其他] 105年03月02日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年03月02日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 16.82 12.78 +4.04 自營商(避險) 71.84 55.24 +16.60 投 信 11.74 12.17 -0.43 外資及陸資 273.30 196.50 +76.80 =========================================================== 合 計 373.69 276.69 +97.00 法人成交比重32.22% -- 四大基金：勞保、勞退、退撫、郵儲 四大雞精：白蘭氏、統一、桂格、華陀 -- ,5
2518,1456988299474_PTT02R,[其他] 105年03月03日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年03月03日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 10.71 12.62 -1.90 自營商(避險) 51.25 66.81 -15.56 投 信 9.10 13.07 -3.98 外資及陸資 338.98 194.28 +144.70 =========================================================== 合 計 410.04 286.78 +123.26 法人成交比重34.67% -- 紅包行情變白包行情 法說會變成法會 阿彌陀佛～ -- ,5
2570,1457075781524_PTT02R,[其他] 105年03月04日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年03月04日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 10.05 10.82 -0.77 自營商(避險) 67.48 54.99 +12.49 投 信 13.30 12.67 +0.62 外資及陸資 278.33 212.06 +66.27 =========================================================== 合 計 369.15 290.54 +78.61 法人成交比重35.28% -- 中天，不是電視台 (4128，生技製藥廠) 大塚，不是製藥廠 (3570，3D列印軟體) 森田，不是藥粧店 (8410，IMR膜內漾印機殼) 天宇，不是布袋戲 (8171，手機電池) 帝寶，不是賣豪宅 (6605，車燈) -- ,5
2671,1457333195221_PTT02R,[其他] 105年03月07日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年03月07日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 11.94 14.09 -2.15 自營商(避險) 55.42 64.60 -9.19 投 信 12.79 15.02 -2.23 外資及陸資 253.57 194.15 +59.42 =========================================================== 合 計 333.72 287.86 +45.86 法人成交比重32.04% -- 中天，不是電視台 (4128，生技製藥廠) 大塚，不是製藥廠 (3570，3D列印軟體) 森田，不是藥粧店 (8410，IMR膜內漾印機殼) 天宇，不是布袋戲 (8171，手機電池) 帝寶，不是賣豪宅 (6605，車燈) -- ,5
2714,1457421539193_PTT02R,[其他] 105年03月08日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年03月08日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 14.66 13.74 +0.92 自營商(避險) 62.00 79.20 -17.20 投 信 15.83 20.02 -4.18 外資及陸資 278.35 230.58 +47.77 =========================================================== 合 計 370.84 343.53 +27.31 法人成交比重33.87% -- 一頁書：世事如棋，乾坤莫測，笑盡英雄啊～～～ 一夜輸：股市如棋，漲跌莫測，坑盡散戶啊～～～ -- ,5
