,name,date,price,5MA,1日報酬,2日報酬,3日報酬,4日報酬,5日報酬
140,Y9999 加權指數,2016-08-10,9200.42,9124.518,0.004952441704496317,0.0054818114457949665,0.011911413399735074,0.019469877702441515,0.022074694696896584
141,Y9999 加權指數,2016-08-11,9131.83,9145.942,-0.007455094441340737,-0.0025395736574666742,-0.0020141504175837945,0.004367518246569461,0.011869633484067723
142,Y9999 加權指數,2016-08-12,9150.39,9157.596000000001,0.0020324513268424283,-0.005437795231087348,-0.0005122838904739783,1.420724656995535e-05,0.0064088463416671375
143,Y9999 加權指數,2016-08-15,9148.51,9157.246000000001,-0.00020545572374502068,0.0018265780243390745,-0.005642133728677588,-0.0007176343625615188,-0.0001912513961351918
144,Y9999 加權指數,2016-08-16,9110.36,9148.302,-0.0041700779689807016,-0.004374676926338532,-0.0023511169174195473,-0.009788683560098288,-0.004884719740297119
145,Y9999 加權指數,2016-08-17,9117.7,9131.758000000002,0.0008056761752554395,-0.003367761526193827,-0.0035725253240570833,-0.0015473349810497129,-0.008990893893974334
146,Y9999 加權指數,2016-08-18,9122.5,9129.892000000002,0.0005264485561050782,0.001332548878419669,-0.00284308592328152,-0.0030479575187505035,-0.001021701017211219
147,Y9999 加權指數,2016-08-19,9034.27,9106.668000000001,-0.009671690874212066,-0.009150333965802811,-0.00835202999661925,-0.012487279349314782,-0.012690169490043483
148,Y9999 加權指數,2016-08-22,8981.81,9073.328,-0.0058067779687789875,-0.015422307481501836,-0.014903977976902204,-0.014110309581619287,-0.01822154645947818
149,Y9999 加權指數,2016-08-23,9030.93,9057.442,0.00546883089265981,-0.0003697033628616529,-0.010037818580432964,-0.009516654419425999,-0.00871864558590443
150,Y9999 加權指數,2016-08-24,9017.38,9037.378,-0.0015003991836943804,0.00396022627955832,-0.0018695478439321868,-0.01152315702932319,-0.01100277482259797
151,Y9999 加權指數,2016-08-25,9115.47,9035.972,0.01087788248914875,0.009361162139447328,0.014881187644806544,0.008987997923462427,-0.0007706220882434261
152,Y9999 加權指數,2016-08-26,9131.72,9055.462,0.0017826837233845321,0.012679958036591577,0.011160533854209816,0.016690399819190103,0.01078670440445093
153,Y9999 加權指數,2016-08-29,9110.17,9081.134,-0.002359905910387011,-0.0005814291528576445,0.010290128618290555,0.008774290134017182,0.014291106135623064
154,Y9999 加權指數,2016-08-30,9110.56,9097.06,4.2809299936161224e-05,-0.0023171976363707885,-0.0005386447434964796,0.010333378431429117,0.008817475055171416
155,Y9999 加權指數,2016-08-31,9068.85,9107.354,-0.004578203754763607,-0.004535590444525153,-0.006884792788215034,-0.005114382472872927,0.005707866364731348
156,Y9999 加權指數,2016-09-01,9001.15,9084.49,-0.007465114099362182,-0.01200914104072635,-0.011966845843710978,-0.014298511123862724,-0.012541317123527336
